epoch	acc	loss	val_acc	val_loss
44	0.665610087	0.903290378	0.632906115	1.004471824
45	0.666794385	0.895130403	0.631512969	1.004126771
46	0.668361838	0.899091955	0.629283936	1.014884386
47	0.666515727	0.894839607	0.628865993	1.011428408
48	0.665714584	0.895938389	0.629144622	1.006951652
49	0.66884949	0.895876353	0.630537767	1.006604197
50	0.672123724	0.891954193	0.630537767	1.003442545
51	0.6696158	0.889193859	0.62970188	1.020060299
52	0.670765265	0.889177972	0.629144622	1.010219792
53	0.669720297	0.890332578	0.631930913	1.006175669
54	0.669232645	0.889684443	0.63304543	1.007289389
55	0.674457487	0.879132605	0.632070228	1.00523754
56	0.671183253	0.880801639	0.630398453	1.005628966
57	0.672855202	0.878656787	0.630955711	1.003895375
58	0.673064196	0.874327934	0.632906115	1.004394104
59	0.672019227	0.883798989	0.632627486	1.002275657
60	0.672123724	0.880097103	0.633463373	1.003468966
61	0.672715873	0.879555571	0.632627486	1.002920559
62	0.674910307	0.877798776	0.6327668	1.000987019
63	0.674736145	0.876521349	0.631652284	1.004031545
64	0.671392246	0.880583142	0.632209542	1.002862139
65	0.671392246	0.880583142	0.632209542	1.002862139
66	0.671392246	0.880583142	0.632209542	1.002862139
67	0.671392246	0.880583142	0.632209542	1.002862139
68	0.671392246	0.880583142	0.632209542	1.002862139
69	0.671392246	0.880583142	0.632209542	1.002862139
70	0.671392246	0.880583142	0.632209542	1.002862139
71	0.671392246	0.880583142	0.632209542	1.002862139
72	0.671392246	0.880583142	0.632209542	1.002862139
73	0.671392246	0.880583142	0.632209542	1.002862139
74	0.671392246	0.880583142	0.632209542	1.002862139
75	0.671392246	0.880583142	0.632209542	1.002862139
76	0.671392246	0.880583142	0.632209542	1.002862139
77	0.671392246	0.880583142	0.632209542	1.002862139
78	0.671392246	0.880583142	0.632209542	1.002862139
79	0.671392246	0.880583142	0.632209542	1.002862139
80	0.671392246	0.880583142	0.632209542	1.002862139
81	0.671392246	0.880583142	0.632209542	1.002862139
82	0.671392246	0.880583142	0.632209542	1.002862139
83	0.671392246	0.880583142	0.632209542	1.002862139
84	0.671392246	0.880583142	0.632209542	1.002862139
85	0.671392246	0.880583142	0.632209542	1.002862139
86	0.671392246	0.880583142	0.632209542	1.002862139
87	0.671392246	0.880583142	0.632209542	1.002862139
88	0.671392246	0.880583142	0.632209542	1.002862139
89	0.671392246	0.880583142	0.632209542	1.002862139
90	0.671392246	0.880583142	0.632209542	1.002862139
91	0.671392246	0.880583142	0.632209542	1.002862139
92	0.671392246	0.880583142	0.632209542	1.002862139
93	0.671392246	0.880583142	0.632209542	1.002862139
94	0.671392246	0.880583142	0.632209542	1.002862139
95	0.671392246	0.880583142	0.632209542	1.002862139
96	0.671392246	0.880583142	0.632209542	1.002862139
97	0.671392246	0.880583142	0.632209542	1.002862139
98	0.671392246	0.880583142	0.632209542	1.002862139
99	0.671392246	0.880583142	0.632209542	1.002862139
100	0.671392246	0.880583142	0.632209542	1.002862139
101	0.671392246	0.880583142	0.632209542	1.002862139
102	0.671392246	0.880583142	0.632209542	1.002862139
103	0.671392246	0.880583142	0.632209542	1.002862139
104	0.671392246	0.880583142	0.632209542	1.002862139
105	0.671392246	0.880583142	0.632209542	1.002862139
106	0.671392246	0.880583142	0.632209542	1.002862139
